state,howner_q1,howner_q1_moe,howner_q2,howner_q2_moe,howner_q3,howner_q3_moe,howner_q4,howner_q4_moe,year
Georgia,67.9,2.4,65.2,2.4,66.4,2.4,65.4,2.4,2011
Hawaii,55.5,3.3,56.7,3.3,55,3.3,54.6,3.3,2011
Idaho,73.7,3.3,71.1,3.5,71.8,3.4,73.2,3.3,2011
Illinois,68.4,2,68.7,2,68.9,2,67.6,2,2011
Indiana,73.3,2.7,72.7,2.8,71.7,2.8,70.9,2.8,2011
Iowa,71.7,2.5,70.5,2.5,71.2,2.5,71.4,2.4,2011
Kansas,65.2,3,64.4,3,66.5,3,65.5,2.9,2011
Kentucky,68.2,2.9,68.4,3,69,2.9,70.8,2.9,2011
Louisiana,69.5,3.5,70.1,3.5,71.2,3.4,69.6,3.4,2011
Maine,73.8,2.6,74.7,2.6,74.2,2.6,72.9,2.6,2011
Maryland,68.6,2.3,69.3,2.3,70.5,2.3,70.4,2.3,2011
Massachusetts,65.5,2.9,63.6,2.9,65.1,2.9,67,2.9,2011
Michigan,74.6,2.2,73.3,2.2,73.1,2.2,75.3,2.1,2011
Minnesota,69.4,2.2,71.2,2.2,73.1,2.2,71.4,2.2,2011
Mississippi,74.5,3.5,73.5,3.5,76,3.4,75.4,3.5,2011
Missouri,70.6,2.6,70.5,2.6,71.5,2.6,72,2.6,2011
Montana,68.7,3.4,67.3,3.5,68.2,3.3,69.3,3.3,2011
Nebraska,69.5,2.8,70.1,2.8,68.4,2.8,67.9,2.8,2011
Nevada,57.3,3,57.2,3,55.3,2.9,55.1,3,2011
New Hampshire,74.5,2.3,74.3,2.3,74.1,2.3,73.6,2.3,2011
New Jersey,67.6,2.5,66.1,2.6,65.5,2.5,66.3,2.5,2011
New Mexico,72.8,3.5,70.2,3.6,66.3,3.6,67.3,3.6,2011
New York,53.5,1.8,53.2,1.8,54.4,1.7,53.3,1.8,2011
North Carolina,67.6,2.5,68.3,2.5,69.5,2.4,67.9,2.5,2011
North Dakota,69.5,3.3,69.5,3.2,67.8,3.2,66.5,3.3,2011
Ohio,69.6,2.1,68.8,2.1,68.9,2.1,68.3,2.1,2011
Oklahoma,68.8,3.2,69.3,3.2,69.5,3.2,70.1,3.1,2011
Oregon,67.1,3.1,66.4,3.1,66.4,3.1,65.8,3.1,2011
Pennsylvania,71.7,2,69.5,2,71.4,2,72,2,2011
Rhode Island,62.5,2.7,64.6,2.7,64.7,2.7,61.8,2.7,2011
South Carolina,74.7,3,75.5,3,73.8,3,73,3,2011
South Dakota,69.3,2.8,70.6,2.8,68.8,2.8,68.6,2.8,2011
Tennessee,70.3,2.9,68.8,2.9,68.8,2.9,69.1,2.9,2011
Texas,63.7,1.6,64.6,1.6,64.1,1.6,64.9,1.6,2011
Utah,71.7,3.2,71.2,3.2,72.7,3.1,70,3.1,2011
Vermont,74.1,2.9,75.9,2.8,75,2.8,73.4,2.9,2011
Virginia,67.5,2.4,67.9,2.4,68.8,2.4,67.2,2.4,2011
Washington,65.9,2.7,63,2.7,62.9,2.7,65,2.6,2011
West Virginia,79.9,2.9,78.9,2.9,76.1,3.1,80,2.9,2011
Wisconsin,69.6,2.5,67.5,2.6,68.5,2.6,68.4,2.6,2011
Wyoming,71.8,3.1,70.4,3.1,71.8,3,70.3,3.1,2011
Alabama,72.4,3.3,71.9,3.3,74.9,3.2,73.7,3.3,2010
Alaska,66.6,3.1,67.4,3.1,64.9,3.2,63.8,3.3,2010
Arizona,68.2,3,67,3,65.4,3.1,65.9,3.1,2010
Arkansas,69.2,3.3,66.1,3.4,66.1,3.4,70,3.3,2010
California,56.5,1.3,56.3,1.3,56.2,1.3,55.4,1.3,2010
Colorado,68.3,2.5,68.5,2.5,69.1,2.5,68.2,2.5,2010
Connecticut,72.3,2.3,71,2.3,69.4,2.3,70.5,2.3,2010
Delaware,74.5,2.7,74,2.7,75.8,2.7,74.5,2.7,2010
District of Columbia,45.4,2.8,44.7,2.8,45.1,2.8,47.3,2.8,2010
Florida,70.8,1.7,69.8,1.7,68.3,1.7,68,1.7,2010
Georgia,66.8,2.4,66.3,2.4,67.6,2.3,67.7,2.3,2010
Hawaii,57.4,3.3,55.7,3.4,54.7,3.4,56.4,3.3,2010
Idaho,71.6,3.4,71.8,3.4,72.3,3.4,73.7,3.3,2010
Illinois,68.1,2,69.9,2,68.7,2,68.3,2,2010
Indiana,71.9,2.8,72.4,2.7,70.1,2.8,70.4,2.8,2010
Iowa,71.9,2.5,71,2.5,70.4,2.5,71.2,2.5,2010
Kansas,67.1,2.9,66.3,2.9,67.7,2.9,68.4,2.9,2010
Kentucky,71.5,2.9,71,2.9,70,2.9,68.6,2.9,2010
Louisiana,70.8,3.5,70,3.5,71.1,3.5,69.7,3.4,2010
Maine,73.9,2.6,73.3,2.6,74.3,2.6,73.8,2.6,2010
Maryland,69.4,2.3,69,2.3,68.8,2.4,68.5,2.3,2010
Massachusetts,63.8,2.9,65,2.9,67.1,2.9,65.6,2.9,2010
Michigan,74.4,2.2,74.5,2.2,75.4,2.1,73.6,2.2,2010
