msa,howner_q1,howner_q1_moe,howner_q2,howner_q2_moe,howner_q3,howner_q3_moe,howner_q4,howner_q4_moe,year
"Cleveland-Elyria-Mentor, OH\10",77.2,4.4,72,4.8,73.4,4.6,74.5,2.8,2007
"Columbia, SC",67.5,8.2,75.6,7.6,74.5,7.4,67,4.8,2007
"Columbus, OH",64.8,5.6,65,5.4,67.6,5.6,67.4,3.5,2007
"Dallas-Ft Worth-Arlington, TX\11",62.2,3.3,60.5,3.1,60.8,3.1,60.2,1.9,2007
"Dayton, OH",65.5,8.2,63.4,8.2,63.7,8.1,64.2,4.9,2007
"Denver-Aurora, CO\12",69.9,3.5,70.6,3.5,69.4,3.5,68.3,2.1,2007
"Detroit-Warren-Livonia, MI\13",77.7,3,76.7,3.1,75,3.1,74.8,1.9,2007
"El Paso, TX",68.2,9.7,70.5,9,69.1,9.2,64.9,5.7,2007
"Fresno, CA",50.1,8.9,52.1,9,53,9.2,48.5,5.4,2007
"Grand Rapids-Wyoming, MI\14",79.5,6.9,78.6,7.2,76.2,7.2,80.2,4.1,2007
"Greensboro-High Point, NC\15",61.6,9,61,8.9,62.6,9.2,63.1,5.5,2007
"Hartford-West Hartford-East Hartford, CT\16",71.2,3.9,69.8,3.9,70.7,3.8,69.8,2.4,2007
"Honolulu, HI",56.8,3.9,61.1,3.9,61,3.9,56.3,2.4,2007
"Houston-Baytown-Sugar Land, TX\17",65.2,3.5,63.5,3.5,63.5,3.5,65.6,2.1,2007
"Indianapolis, IN",75.6,5.1,77.5,4.9,75.3,5.1,75.1,3.1,2007
"Jacksonville, FL",71.3,6.3,68.1,6.3,70.6,6.1,73.5,3.5,2007
"Kansas City, MO-KS",68.7,3.6,70.6,3.5,73.2,3.3,72.5,2.1,2007
"Las Vegas-Paradise, NV\18",64,3.5,60,3.6,58.9,3.6,59.4,2.1,2007
"Los Angeles-Long Beach-Santa Ana, CA \19",52.5,2.3,52.4,2.3,52.1,2.3,52.1,1.4,2007
"Louisville, KY-IN",65.1,7.1,64.1,7.1,71.8,6.7,67.9,4.2,2007
"Memphis, TN-AR-MS",59,5.1,58.1,5.1,63,5.1,62.5,3,2007
"Miami-Fort Lauderdale-Miami Beach, FL\20",67.4,3.3,64.7,3.3,66.6,3.3,67.8,1.9,2007
"Milwaukee-Waukesha-West Allis, WI",62.3,5.1,66.6,5.1,65.7,5.1,64.4,3.1,2007
"Minneapolis-St Paul-Bloomington, MN-WI ",73.4,2.8,69.8,2.8,69.1,3,70.5,1.7,2007
"Nashville-Davidson-Murfreesboro, TN\21",71.9,5.8,66.3,6.1,66.8,6.1,75.5,3.5,2007
"New Haven-Milford, CT",63.3,4.9,68.9,4.8,62.8,4.9,63.8,2.9,2007
"New Orleans-Metairie-Kenner, LA\22",72.4,7.2,68.2,7.7,64.3,7.6,66.5,4.5,2007
"New York-Northern New Jersey--Long Island, NY\23",53.1,1.8,55,1.8,54.2,1.8,52.9,1.1,2007
"Oklahoma City, OK",69.8,5.6,65.1,5.9,69.1,5.8,69,3.5,2007
"Omaha-Council Bluffs, NE-IA",65.7,4.9,67,4.8,67.9,4.9,71.3,2.9,2007
"Orlando, FL",74,4.9,71.2,5.1,72.7,5.1,69.1,3.2,2007
"Oxnard-Thousand Oaks-Ventura, CA",74.8,7.9,71.4,8.2,73.8,8.1,65.6,5.2,2007
"Philadelphia-Camden-Wilmington, PA ",72.5,3,73.5,3,72.8,3,73.7,1.8,2007
"Phoenix-Mesa-Scottsdale, AZ\24",73.8,3.6,70.8,3.6,70.2,3.8,68.5,2.3,2007
"Pittsburgh, PA",73.1,4.3,73.4,4.3,74,4.3,73.9,2.6,2007
"Portland-Vancouver-Beaverton, OR-WA\25",61.1,4.3,63.2,4.3,61.1,4.3,59.5,2.6,2007
"Poughkeepsie-Newburgh-Middletown, NJ",81.1,8.2,74.3,9.4,69.8,9.9,67.2,6,2007
Providence-New Bedford-Fall River RI-MA\26,62.6,5.9,64.2,5.9,65,5.9,64.7,3.6,2007
"Raleigh-Cary, NC\27",70.5,7.1,73.5,6.7,73.1,6.7,74,4.2,2007
"Richmond, VA\28",71.9,5.9,72,5.9,71.3,5.9,75.5,3.3,2007
"Riverside-San Bernardino-Ontario, CA\29",65.4,3.9,66.3,3.9,66.5,4.1,68.1,2.4,2007
"Rochester, NY",74.1,6.7,74.6,6.7,77.2,6.6,71.7,4.2,2007
"Sacramento-Arden-Arcade-Roseville, CA\30",60.7,5.6,64,5.3,60,5.3,58.4,3.3,2007
"St Louis, MO-IL",73,3.9,70.8,3.9,71.8,3.9,72.6,2.4,2007
"Salt Lake City, UT\31",70.4,5.3,71.2,5.1,72,5.1,73.6,3,2007
"San Antonio, TX ",61.6,5.9,64.6,5.9,63.2,5.8,60.4,3.5,2007
"San Diego-Carlsbad-San Marco, CAs\32",58.1,4.6,59.9,4.6,62.1,4.4,58.2,2.8,2007
"San Francisco-Oakland-Fremont, CA\33",57.1,3.8,58.5,3.6,59,3.6,57.3,2.3,2007
"San Jose-Sunnyvale-Santa Clara, CA\34",59.1,5.6,59.9,5.8,56,5.9,55.2,3.5,2007
"Seattle-Tacoma-Bellevue, WA",64.2,3.8,65.2,3.6,62.3,3.8,59.8,2.3,2007
"Springfield, MA",58,8.9,58.7,9.2,59.4,9,59,5.4,2007
"Syracuse, NY",60.4,9.4,63.8,9.5,63.3,9.5,65.9,5.5,2007
"Tampa-St Petersburg-Clearwater, FL",73,4.1,74,4.1,73.4,4.1,71.3,2.6,2007
"Toledo, OH",67.2,8.9,67.8,8.7,68.8,8.7,69.1,5.3,2007
"Tucson, AZ ",64.6,7.9,69.3,7.4,67.5,7.6,67,4.5,2007
"Tulsa, OK",63.4,7.1,67.8,6.4,68.1,6.4,67.2,4,2007
"Virginia Beach-Norfolk-Newport News, VA\35",69.2,6.1,69.6,6.1,63.6,6.3,61.8,3.9,2007
"Washington-Arlington-Alexandria, DC-VA-MD-WV\36",70.7,3.1,69.8,3.3,68.4,3.3,67.9,2,2007
"Worcester, MA",69.4,8.2,66.8,8.4,66.7,8.1,68.4,4.9,2007
"Akron, OH ",75.3,7.7,75.3,7.7,79.5,7.4,78.6,4.6,2006
"Albany-Schenectady-Troy, NY ",65.8,7.6,68.7,7.4,66.7,7.4,66.9,4.7,2006
"Alburquerque, NM",70,5.4,68.9,5.4,71.5,5.1,69.5,3.2,2006
"Allentown-Bethlehem-Easton, PA-NJ",74.5,7.4,78.2,7.1,74,7.6,73.8,4.4,2006
"Atlanta-Sandy Springs-Marietta, GA\1",68.9,3.3,67.4,3.3,68.5,3.3,66.9,2,2006
"Austin-Round Rock, TX\2",61.2,5.9,66.8,5.8,71,5.4,67.5,3.5,2006
"Bakersfield, CA",56.1,9.5,60,9.2,65.6,8.7,67,5.3,2006
"Baltimore-Towson, MD\3",74.8,3.3,72.4,3.3,72.7,3.3,71.9,2.1,2006
"Baton Rouge, LA",59.5,9.4,65,9.2,69.7,8.7,65.8,5.6,2006
"Birmingham-Hoover, AL\4",75.4,6.4,76,6.4,77,6.3,76.1,3.9,2006
"Boston-Cambridge-Quincy, MA-NH\5",62.7,3.6,64.2,3.5,65.4,3.5,66.3,2.1,2006
"Bridgeport-Stamford-Norwalk, CT",75.2,4.4,72,4.6,68.5,4.6,66.4,2.8,2006
"Buffalo-Cheektowaga-Tonawanda, NY\6",68.8,6.6,69.1,6.6,66.1,6.9,61.3,4.1,2006
"Charlotte-Gastonia-Concord, NC-SC\7",65.5,6.1,66.7,6.3,68.4,5.9,63.8,3.7,2006
"Chicago-Naperville-Joliet, IL\8",68.3,2.5,68.6,2.5,71.2,2.3,70.4,1.4,2006
"Cincinnati-Middletown, OH-KY-IN\9",68.1,4.9,64.7,5.1,64.2,5.1,65,3.2,2006
"Cleveland-Elyria-Mentor, OH\10",76.1,4.6,76.3,4.4,76.7,4.4,78.5,2.6,2006
"Columbia, SC",66.2,8.1,70,8.1,78.3,7.2,74.8,4.5,2006
"Columbus, OH",64.5,5.4,63.4,5.3,65.8,5.8,70.1,3.3,2006
"Dallas-Ft Worth-Arlington, TX\11",62.4,3.3,59.9,3.3,59.8,3.3,60.7,2,2006
"Dayton, OH",63.6,8.2,63.2,8.1,65,7.9,66.4,4.8,2006
"Denver-Aurora, CO\12",69,3.6,70.9,3.5,71.3,3.5,68.9,2.1,2006
"Detroit-Warren-Livonia, MI\13",75.6,3.1,76.9,3.1,74.2,3.1,76.5,1.8,2006
"El Paso, TX",58.9,10.4,66.1,10,67.3,9.4,67.2,5.7,2006
"Fresno, CA",52.1,9.2,53.9,9,55.4,8.7,54.1,5.3,2006
"Grand Rapids-Wyoming, MI\14",76.9,7.4,73.8,7.7,74.4,7.7,80.8,4.1,2006
"Greensboro-High Point, NC\15",57.5,9,65,8.7,63.7,9,62.6,5.5,2006
"Hartford-West Hartford-East Hartford, CT\16",72.9,3.8,74.2,3.6,75.1,3.8,73,2.3,2006
"Honolulu, HI",59.7,3.9,60.7,3.8,58,3.9,55.1,2.4,2006
"Houston-Baytown-Sugar Land, TX\17",63.7,3.5,63.2,3.5,62.3,3.5,64.6,2.1,2006
"Indianapolis, IN",77,5.3,79.4,4.9,79.7,4.8,79.9,2.9,2006
"Jacksonville, FL",69.1,6.4,69.6,6.3,67.4,6.3,74,3.6,2006
"Kansas City, MO-KS",68.1,3.6,68.9,3.6,71.1,3.5,70,2.1,2006
"Las Vegas-Paradise, NV\18",63.5,3.6,61.3,3.6,63.7,3.5,64.8,2.1,2006
"Los Angeles-Long Beach-Santa Ana, CA \19",54.4,2.3,54.9,2.3,54.6,2.3,53.8,1.4,2006
"Louisville, KY-IN",64,7.1,66.6,7.1,67.2,7.1,67.8,4.3,2006
"Memphis, TN-AR-MS",62.2,5.1,63.1,5.1,62.8,5.1,58.4,3.1,2006
"Miami-Fort Lauderdale-Miami Beach, FL\20",67.8,3.3,67.8,3.3,66.8,3.3,67.2,2,2006
"Milwaukee-Waukesha-West Allis, WI",60.7,5.3,64.4,5.1,69.4,4.9,66.4,3,2006
"Minneapolis-St Paul-Bloomington, MN-WI ",73.6,2.8,73.3,2.8,73.4,2.8,73.2,1.7,2006
"Nashville-Davidson-Murfreesboro, TN\21",67.3,6.3,71.8,6.1,74.5,5.8,75.4,3.3,2006
"New Haven-Milford, CT",62.3,4.8,63.1,4.8,65,4.8,65.5,3,2006
"New Orleans-Metairie-Kenner, LA\22",69.9,8.1,70,7.7,67.8,8.1,73.1,4.4,2006
"New York-Northern New Jersey--Long Island, NY\23",52.4,1.8,54.2,1.8,54.1,1.8,53.5,1.1,2006
"Oklahoma City, OK",73.1,5.4,69.6,5.8,72.3,5.6,72.3,3.4,2006
"Omaha-Council Bluffs, NE-IA",68.2,4.9,68.2,4.9,67.4,4.9,68.4,3,2006
"Orlando, FL",71.2,5.1,71.6,5.1,69.2,5.1,72.4,3.1,2006
"Oxnard-Thousand Oaks-Ventura, CA",72.4,8.2,70.7,8.2,64,8.6,72.7,5.1,2006
"Philadelphia-Camden-Wilmington, PA ",73.3,3,73.5,3,71.8,3,74.1,1.8,2006
"Phoenix-Mesa-Scottsdale, AZ\24",70.3,3.8,72.9,3.8,73.9,3.6,72.6,2.3,2006
"Pittsburgh, PA",70.9,4.6,70.6,4.6,73.2,4.4,73.8,2.6,2006
"Portland-Vancouver-Beaverton, OR-WA\25",67.4,4.1,67.2,4.3,65.9,4.3,63.7,2.6,2006
"Poughkeepsie-Newburgh-Middletown, NJ",74.8,9,74.3,9.4,71.1,9.4,75.8,5.5,2006
Providence-New Bedford-Fall River RI-MA\26,65.1,5.9,64.6,5.9,66,5.8,66.4,3.5,2006
"Raleigh-Cary, NC\27",70.3,7.2,68.7,7.4,73,7.1,72.3,4.3,2006
"Richmond, VA\28",69.7,5.9,68.6,5.9,70,5.9,67.4,3.7,2006
"Riverside-San Bernardino-Ontario, CA\29",69,3.9,68.2,3.9,66.7,3.9,69.2,2.3,2006
"Rochester, NY",71.2,6.7,71.2,6.9,78.2,6.4,73.3,4.1,2006
"Sacramento-Arden-Arcade-Roseville, CA\30",61.2,5.4,65,5.4,65.2,5.3,65.6,3.2,2006
"St Louis, MO-IL",71.1,4.1,73.4,3.9,72.5,3.9,74.3,2.3,2006
"Salt Lake City, UT\31",70.6,5.3,67.7,5.4,71.8,5.1,68.5,3.2,2006
"San Antonio, TX ",65.7,5.9,64.5,5.9,61.3,5.8,59.5,3.5,2006
"San Diego-Carlsbad-San Marco, CAs\32",61.2,4.4,60.4,4.4,63.1,4.6,60.2,2.8,2006
"San Francisco-Oakland-Fremont, CA\33",58.5,3.6,59.7,3.6,61.6,3.6,57.9,2.2,2006
"San Jose-Sunnyvale-Santa Clara, CA\34",61.3,5.8,60.4,5.9,59.7,5.9,56.1,3.6,2006
"Seattle-Tacoma-Bellevue, WA",64.7,3.8,63.1,3.8,63,3.8,64,2.3,2006
"Springfield, MA",62.5,8.6,64.9,8.6,61.7,8.9,60.2,5.4,2006
"Syracuse, NY",64.5,9.2,66.2,9,67.9,9,65.5,5.5,2006
"Tampa-St Petersburg-Clearwater, FL",69.8,4.3,70.2,4.1,72.9,4.1,73.5,2.5,2006
"Toledo, OH",72.8,8.6,70.4,8.4,72.3,8.6,67.5,5.4,2006
"Tucson, AZ ",60.9,8.1,70.1,7.4,70.6,7.4,68.1,4.6,2006
"Tulsa, OK",70.1,6.6,68.7,6.3,67.8,6.6,64.6,4.3,2006
"Virginia Beach-Norfolk-Newport News, VA\35",69.4,6.3,68.1,6.3,66.7,6.3,69.2,3.7,2006
"Washington-Arlington-Alexandria, DC-VA-MD-WV\36",67.7,3.3,69.2,3.3,67.8,3.3,70.9,2,2006
"Worcester, MA",69.7,8.1,66.8,8.4,72.8,7.7,74.6,4.6,2006
"Akron, OH ",75.7,7.9,81,6.9,79.3,7.2,76.2,4.7,2005
"Albany-Schenectady-Troy, NY ",72,7.2,66.5,7.6,61.7,7.7,65.2,4.7,2005
"Alburquerque, NM",70.5,5.4,69.1,5.6,69.3,5.6,68.2,3.3,2005
"Allentown-Bethlehem-Easton, PA-NJ",71.9,7.4,72.5,7.6,75.3,7.4,74.3,4.5,2005
"Atlanta-Sandy Springs-Marietta, GA\1",65,3.5,63.7,3.5,66.1,3.5,70.7,2,2005
"Austin-Round Rock, TX\2",59,6.4,63.1,6.4,66.2,5.9,67,3.6,2005
"Bakersfield, CA",57.9,9,60.1,9.5,59.2,9,64.7,5.3,2005
"Baltimore-Towson, MD\3",68.8,3.5,71.9,3.5,70.4,3.5,71.5,2.1,2005
"Baton Rouge, LA",69,8.9,65.4,9.2,74.3,7.9,74.4,4.9,2005
"Birmingham-Hoover, AL\4",76,6.3,73.1,6.6,75.7,6.6,75.7,3.9,2005
"Boston-Cambridge-Quincy, MA-NH\5",62.8,3.6,61.2,3.6,65.5,3.5,62.4,2.2,2005
"Bridgeport-Stamford-Norwalk, CT",57.5,4.8,74.7,4.4,70.8,4.6,70.8,2.8,2005
"Buffalo-Cheektowaga-Tonawanda, NY\6",66.9,6.6,74.6,6.3,60.6,6.9,63.2,4.1,2005
"Charlotte-Gastonia-Concord, NC-SC\7",64.4,6.1,66.1,6.1,67.4,6.1,65.3,3.8,2005
"Chicago-Naperville-Joliet, IL\8",69.9,2.5,69.3,2.5,71,2.5,69.8,1.5,2005
"Cincinnati-Middletown, OH-KY-IN\9",69.8,5.1,67.4,5.3,67.7,5.1,68.6,3,2005
"Cleveland-Elyria-Mentor, OH\10",70.6,4.8,75.1,4.6,74.2,4.6,77.4,2.7,2005
"Columbia, SC",73.6,7.9,72.8,7.7,77.8,7.2,81,4.2,2005
"Columbus, OH",64.2,5.8,70.6,5.4,70.9,5.4,69.5,3.3,2005
"Dallas-Ft Worth-Arlington, TX\11",64.6,3.1,60.9,3.3,61,3.3,62.7,2,2005
"Dayton, OH",67.1,8.1,62.3,8.4,67.7,7.9,67.2,4.9,2005
"Denver-Aurora, CO\12",71.5,3.6,71.8,3.5,70.5,3.6,69,2.2,2005
"Detroit-Warren-Livonia, MI\13",74.1,3.1,75.9,3.1,75.2,3.1,75.2,1.9,2005
"El Paso, TX",75.3,8.1,81.3,7.9,67.7,9.9,64.9,5.9,2005
"Fresno, CA",50.3,8.9,43.8,9.2,56.9,8.9,55.7,5.4,2005
"Grand Rapids-Wyoming, MI\14",62.7,8.9,71.8,7.9,76.8,7.7,78.7,4.4,2005
"Greensboro-High Point, NC\15",68.8,8.4,65.3,9,63.9,9.5,66.5,5.5,2005
"Hartford-West Hartford-East Hartford, CT\16",73.5,3.6,70.4,3.8,71,3.9,73.7,2.3,2005
"Honolulu, HI",60.1,3.9,58.4,3.9,56.7,3.9,56.9,2.4,2005
"Houston-Baytown-Sugar Land, TX\17",63.4,3.5,59.3,3.6,60.7,3.8,63.2,2.1,2005
"Indianapolis, IN",78.6,4.9,77.2,5.1,76.8,5.1,76,3.2,2005
"Jacksonville, FL",67.2,6.6,65.7,6.4,68.5,6.4,70.4,3.8,2005
"Kansas City, MO-KS",73,3.5,68.6,3.6,72.8,3.5,71,2.2,2005
"Las Vegas-Paradise, NV\18",63.6,3.6,59.1,3.6,60.3,3.6,62.7,2.2,2005
"Los Angeles-Long Beach-Santa Ana, CA \19",55,2.1,54.7,2.3,54.3,2.3,54.4,1.4,2005
"Louisville, KY-IN",61.1,7.2,63.8,6.9,65.2,7.1,61.7,4.4,2005
"Memphis, TN-AR-MS",64.4,5.1,65.7,5.1,67.1,5.1,61.8,3.2,2005
"Miami-Fort Lauderdale-Miami Beach, FL\20",71,3.3,69.6,3.1,68.7,3.3,67.6,2,2005
"Milwaukee-Waukesha-West Allis, WI",65.9,5.1,66,5.1,66.2,5.1,64.9,3.1,2005
"Minneapolis-St Paul-Bloomington, MN-WI ",75.6,2.8,74,2.8,75.2,2.8,74.8,1.7,2005
"Nashville-Davidson-Murfreesboro, TN\21",67.3,6.4,74.6,5.8,75.6,5.8,74.1,3.5,2005
"New Haven-Milford, CT",68.2,4.8,66.3,4.8,66.6,4.8,66.5,2.9,2005
"New Orleans-Metairie-Kenner, LA\22",69.6,6.3,72.3,6.3,64.2,7.7,81.9,4.4,2005
"New York-Northern New Jersey--Long Island, NY\23",55.9,1.8,53.9,1.8,54.1,1.8,54.7,1.1,2005
"Oklahoma City, OK",68.5,5.8,75.1,5.3,73.4,5.6,74.6,3.3,2005
"Omaha-Council Bluffs, NE-IA",69,4.9,68.8,4.9,71.2,4.8,69.7,2.9,2005
"Orlando, FL",70.3,5.4,71.2,5.3,68.8,5.3,71.5,3.1,2005
"Oxnard-Thousand Oaks-Ventura, CA",77.8,7.6,72.1,7.7,68.2,8.4,75.7,4.5,2005
"Philadelphia-Camden-Wilmington, PA ",75.1,3,72.9,3,73.2,3,72.8,1.8,2005
"Phoenix-Mesa-Scottsdale, AZ\24",74.4,3.8,68.4,3.9,71,3.8,71.2,2.3,2005
"Pittsburgh, PA",75.6,4.3,71.9,4.4,73.2,4.4,71.6,2.7,2005
"Portland-Vancouver-Beaverton, OR-WA\25",72.9,3.9,66,4.1,65.3,4.3,68.9,2.5,2005
"Poughkeepsie-Newburgh-Middletown, NJ",75.1,8.6,77.8,8.7,74.5,8.6,69.7,5.6,2005
Providence-New Bedford-Fall River RI-MA\26,62.3,5.9,59.9,5.9,65.4,5.8,64.5,3.5,2005
"Raleigh-Cary, NC\27",78,6.9,64.9,7.9,70.1,7.2,73.1,4.3,2005
"Richmond, VA\28",68,6.3,67.8,6.1,73.3,5.8,69.4,3.6,2005
"Riverside-San Bernardino-Ontario, CA\29",68.7,4.1,66.7,4.1,68.9,4.1,69.5,2.4,2005
"Rochester, NY",73.8,6.6,76.6,6.4,73.1,6.7,76.2,3.9,2005
"Sacramento-Arden-Arcade-Roseville, CA\30",64.1,5.1,64.1,5.1,66.8,5.1,61.3,3.2,2005
"St Louis, MO-IL",72.5,4.1,76.8,3.9,74.7,3.9,73.4,2.4,2005
"Salt Lake City, UT\31",70,5.8,65,5.8,68.9,5.4,71.2,3.2,2005
"San Antonio, TX ",66,6.1,65.3,5.9,65.6,5.6,67.1,3.5,2005
"San Diego-Carlsbad-San Marco, CAs\32",62,4.4,59.9,4.4,60.5,4.6,59.7,2.8,2005
"San Francisco-Oakland-Fremont, CA\33",56.5,3.6,57.4,3.6,58.6,3.6,58.8,2.2,2005
"San Jose-Sunnyvale-Santa Clara, CA\34",58,5.8,57.6,6.1,60.1,5.8,60.9,3.5,2005
"Seattle-Tacoma-Bellevue, WA",63.4,3.8,65.4,3.8,64.3,3.8,64.8,2.3,2005
"Springfield, MA",64.7,8.9,70.2,8.4,61.9,8.7,61.3,5.3,2005
"Syracuse, NY",56.8,10.2,58.4,9.5,62.3,9.2,61.4,5.5,2005
"Tampa-St Petersburg-Clearwater, FL",73.4,4.3,73.3,4.3,71,4.3,69.1,2.6,2005
"Toledo, OH",70.8,9,70.8,8.9,74.6,8.7,73.5,5.1,2005
"Tucson, AZ ",67,7.9,65.8,8.2,66.2,7.9,65.5,4.8,2005
"Tulsa, OK",77.6,6.1,72.7,6.3,70.5,6.6,66,4.2,2005
"Virginia Beach-Norfolk-Newport News, VA\35",68.7,6.4,64.9,6.6,65.9,6.4,72.7,3.7,2005
"Washington-Arlington-Alexandria, DC-VA-MD-WV\36",68.6,3.3,68.2,3.3,68.7,3.3,68.3,2,2005
"Worcester, MA",63.4,8.9,64.8,8.6,63.3,8.2,69.1,4.8,2005
