msa,howner_q1,howner_q1_moe,howner_q2,howner_q2_moe,howner_q3,howner_q3_moe,howner_q4,howner_q4_moe,year
"Washington-Arlington-Alexandria, DC-VA-MD-WV\36",66,3.2,65.4,3.2,65.1,3.2,63.5,3.3,2014
"Worcester, MA",63.8,8.8,66.8,8.6,57.6,9,61.9,8.6,2014
"Akron, OH ",71,7.9,69.5,8.1,61.8,8.7,61.4,8.7,2013
"Albany-Schenectady-Troy, NY ",68.9,7.3,64.7,7.4,70.9,7.1,67.4,7.2,2013
"Alburquerque, NM",66.8,5.2,66.7,5.1,65.8,4.9,64.7,5,2013
"Allentown-Bethlehem-Easton, PA-NJ",68.4,7.4,68.6,7.6,73.8,7,74.9,6.8,2013
"Atlanta-Sandy Springs-Marietta, GA\1",62.9,3.4,61,3.4,62.4,3.3,60.1,3.3,2013
"Austin-Round Rock, TX\2",61.9,5.7,57.5,6,59.1,5.8,59.9,5.7,2013
"Bakersfield, CA",50.9,9.3,53,9.3,53.6,9.5,61.1,9.2,2013
"Baltimore-Towson, MD\3",65.6,3.6,64.5,3.6,65.5,3.6,68.3,3.5,2013
"Baton Rouge, LA",65.9,8.6,66.9,8.2,65.3,8.6,68.4,8.4,2013
"Birmingham-Hoover, AL\4",72,7,70.1,6.7,71.8,6.4,74.7,6.4,2013
"Boston-Cambridge-Quincy, MA-NH\5",66.5,3.4,68.2,3.4,66.6,3.4,63.7,3.4,2013
"Bridgeport-Stamford-Norwalk, CT",71.5,4.6,71.3,4.6,69.1,4.7,70.9,4.6,2013
"Buffalo-Cheektowaga-Tonawanda, NY\6",63.9,6.7,65.5,6.7,65.6,6.9,67.1,6.5,2013
"Charlotte-Gastonia-Concord, NC-SC\7",58.6,6,60.3,6,59.1,6,57.8,5.9,2013
"Chicago-Naperville-Joliet, IL\8",68.6,2.4,66.8,2.4,68.1,2.4,69.5,2.4,2013
"Cincinnati-Middletown, OH-KY-IN\9",63.6,5,61,5.1,64,5.1,64.8,5,2013
"Cleveland-Elyria-Mentor, OH\10",62,5,64.2,5,67.8,4.8,69,4.7,2013
"Columbia, SC",69.2,7.3,74.5,6.9,67.6,7.6,63.9,7.7,2013
"Columbus, OH",62.9,5.6,60.7,5.5,57.9,5.7,60.8,5.5,2013
"Dallas-Ft Worth-Arlington, TX\11",57.8,3.1,61,3.1,59.7,3.1,61.1,3,2013
"Dayton, OH",63.5,8,64,8.2,64.1,7.9,66.1,8,2013
"Denver-Aurora, CO\12",61,3.6,61.3,3.6,60.4,3.6,61.2,3.6,2013
"Detroit-Warren-Livonia, MI\13",71.3,3.3,72.8,3.2,71.1,3.3,71.5,3.3,2013
"El Paso, TX",68.9,8.6,71.1,8.7,71.6,8.9,65.6,9.1,2013
"Fresno, CA",50.4,8.4,48.4,8.4,57,8.1,56.2,8.5,2013
"Grand Rapids-Wyoming, MI\14",75.8,7.3,75.2,7.4,73.1,7.4,70.6,8,2013
"Greensboro-High Point, NC\15",65.7,8.3,71,8,67.6,8.4,67.2,8.4,2013
"Hartford-West Hartford-East Hartford, CT\16",66.6,4,69.9,3.9,72.4,3.9,70.6,3.9,2013
"Honolulu, HI",57.5,3.8,56.6,3.9,58,3.8,59.4,3.8,2013
"Houston-Baytown-Sugar Land, TX\17",61.6,3.2,61.6,3.2,59.5,3.3,59.5,3.3,2013
"Indianapolis, IN",70.5,5.3,64.4,5.5,67.4,5.3,67.9,5.2,2013
"Jacksonville, FL",70.8,6,67.1,6.1,71.4,5.7,70.2,5.9,2013
"Kansas City, MO-KS",67,3.5,64.5,3.5,65,3.5,65.8,3.5,2013
"Las Vegas-Paradise, NV\18",53.1,3.4,53.4,3.4,54.8,3.4,49.7,3.4,2013
"Los Angeles-Long Beach-Santa Ana, CA \19",47.7,2.2,48.2,2.2,49.1,2.2,49.7,2.2,2013
"Louisville, KY-IN",63.4,6.6,63.1,6.5,66.7,6.2,64.6,6.5,2013
"Memphis, TN-AR-MS",58.7,5.2,55.5,5.3,56.1,5.2,54.3,5.5,2013
"Miami-Fort Lauderdale-Miami Beach, FL\20",60.5,3.3,60.7,3.3,59.9,3.3,59.3,3.3,2013
"Milwaukee-Waukesha-West Allis, WI",60.3,5.3,61.8,5.1,57.9,5.2,59.9,5,2013
"Minneapolis-St Paul-Bloomington, MN-WI ",71.2,2.8,70.9,2.8,72.2,2.7,72.6,2.7,2013
"Nashville-Davidson-Murfreesboro, TN\21",60.4,6.1,64.1,6,65.3,5.9,65.7,5.9,2013
"New Haven-Milford, CT",61.5,4.9,62.5,4.8,60.6,4.9,63.3,4.9,2013
"New Orleans-Metairie-Kenner, LA\22",58.7,7.7,63.7,7.6,62.3,7.3,61,7.1,2013
"New York-Northern New Jersey--Long Island, NY\23",50,1.8,51.2,1.8,51.2,1.8,50,1.8,2013
"Oklahoma City, OK",66.5,5.8,65.5,5.7,69.3,5.5,68.8,5.6,2013
"Omaha-Council Bluffs, NE-IA",71.3,4.6,67.3,4.7,71.5,4.5,72.4,4.5,2013
"Orlando, FL",64.7,5.3,65.9,5.3,63.2,5.3,68.2,5.1,2013
"Oxnard-Thousand Oaks-Ventura, CA",68.3,8.6,71.4,8.5,62.3,8.9,65.5,8.7,2013
"Philadelphia-Camden-Wilmington, PA ",68.7,3.1,68.3,3.1,69.3,3,70,3,2013
"Phoenix-Mesa-Scottsdale, AZ\24",63.7,3.8,61.3,3.9,60.2,4,63.3,3.9,2013
"Pittsburgh, PA",66.9,4.6,68.3,4.5,69.8,4.5,68.3,4.5,2013
"Portland-Vancouver-Beaverton, OR-WA\25",58.3,4.3,64.1,4.1,61.6,4.1,59.4,4.2,2013
"Poughkeepsie-Newburgh-Middletown, NJ",68.1,9.1,70.1,9.1,65.2,9.3,57.7,9.5,2013
Providence-New Bedford-Fall River RI-MA\26,60.8,6,57.2,6,60.4,5.8,62,5.9,2013
"Raleigh-Cary, NC\27",68.1,6.8,68.2,6.7,64.5,7,61.5,6.9,2013
"Richmond, VA\28",61.4,5.8,64.9,6,65.8,6.1,70,5.8,2013
"Riverside-San Bernardino-Ontario, CA\29",55.1,4,57.2,4,59,4.1,54.1,4.2,2013
"Rochester, NY",65.9,7.1,69.2,6.9,72.7,6.6,69.3,6.7,2013
"Sacramento-Arden-Arcade-Roseville, CA\30",59.9,5.2,63.2,5.1,59.6,5.2,58.8,5.2,2013
"St Louis, MO-IL",74.2,4,74.1,4,70.1,4.1,72.5,4,2013
"Salt Lake City, UT\31",65.9,5.2,67.5,5,66.7,5,67.1,4.9,2013
"San Antonio, TX ",69.2,5.3,70,5,71.8,5,69.4,5.2,2013
"San Diego-Carlsbad-San Marco, CAs\32",57.1,4.5,53.4,4.6,53.9,4.5,55.6,4.5,2013
"San Francisco-Oakland-Fremont, CA\33",56.9,3.5,54.4,3.6,55.1,3.5,54.6,3.6,2013
"San Jose-Sunnyvale-Santa Clara, CA\34",56.7,5.7,54,5.8,54.5,5.5,60.4,5.5,2013
"Seattle-Tacoma-Bellevue, WA",62.2,3.8,62.3,3.7,59.5,3.7,60,3.7,2013
"Springfield, MA",69.3,8.8,69.8,8.2,67,8.8,61.9,8.7,2013
"Syracuse, NY",56.9,9.5,56.4,9.3,59.9,9.1,62.2,9.1,2013
"Tampa-St Petersburg-Clearwater, FL",65.1,4.3,65.8,4.2,65.3,4.3,65.1,4.3,2013
"Toledo, OH",64.4,8.8,64.5,9.2,57.3,9.1,56.8,9,2013
"Tucson, AZ ",65.5,7.3,66.8,7.2,68.7,7,63.2,7.3,2013
"Tulsa, OK",67.2,6.5,58.7,7.2,61.4,7.2,69.2,7,2013
"Virginia Beach-Norfolk-Newport News, VA\35",65.5,6.1,61.6,6.3,63.3,6.1,62.8,5.9,2013
"Washington-Arlington-Alexandria, DC-VA-MD-WV\36",65,3.3,66.6,3.2,65.6,3.2,66.8,3.2,2013
"Worcester, MA",65.8,8.7,64.9,8.7,64.4,8.6,58.6,8.7,2013
"Akron, OH ",71.6,8.1,70.7,8.3,68.6,8.2,69.2,8.3,2012
"Albany-Schenectady-Troy, NY ",74.6,6.9,68.1,7.3,72.2,7,67.5,7.3,2012
"Alburquerque, NM",64.6,5.1,62.2,5.2,61,5.1,63.4,5.2,2012
"Allentown-Bethlehem-Easton, PA-NJ",72.9,7.5,74.9,7.3,80.5,6.5,73.7,7.2,2012
"Atlanta-Sandy Springs-Marietta, GA\1",63.2,3.3,61.2,3.3,60.8,3.3,63.4,3.3,2012
"Austin-Round Rock, TX\2",58.8,5.8,60.3,5.8,61.2,5.9,60.1,5.9,2012
"Bakersfield, CA",50.6,9.3,51,9.4,53.3,9.5,57.4,9.3,2012
"Baltimore-Towson, MD\3",67,3.5,65.8,3.6,66.3,3.5,65.1,3.5,2012
"Baton Rouge, LA",70.2,7.9,74.5,7.9,67.9,8.4,73.1,8.1,2012
"Birmingham-Hoover, AL\4",73.1,6.7,70.1,7,73.1,6.3,76.1,6.2,2012
"Boston-Cambridge-Quincy, MA-NH\5",65.2,3.5,68.3,3.4,65.7,3.4,64.7,3.5,2012
"Bridgeport-Stamford-Norwalk, CT",71,4.6,73,4.5,69.8,4.7,68.8,4.6,2012
"Buffalo-Cheektowaga-Tonawanda, NY\6",61.7,6.9,62.8,7,63,7.1,66.4,6.7,2012
"Charlotte-Gastonia-Concord, NC-SC\7",56.5,6,60,6.1,61.4,6,55.7,6,2012
"Chicago-Naperville-Joliet, IL\8",66.9,2.4,67.1,2.4,66.9,2.4,67.5,2.4,2012
"Cincinnati-Middletown, OH-KY-IN\9",63.2,5.1,61.9,5,65.4,5,63.3,5.1,2012
"Cleveland-Elyria-Mentor, OH\10",66.3,4.9,61.2,5.1,63.5,4.9,65.6,4.8,2012
"Columbia, SC",64.1,7.7,67.6,7.6,65.9,7.8,64.8,7.9,2012
"Columbus, OH",62.9,5.7,62.1,5.6,58.3,5.9,59.5,5.8,2012
"Dallas-Ft Worth-Arlington, TX\11",62.6,3.1,62.1,3,61.1,3.1,61.3,3.1,2012
"Dayton, OH",65.6,8.2,64.7,8.4,69.7,8.4,68.4,7.8,2012
"Denver-Aurora, CO\12",61.9,3.6,62,3.6,61.8,3.6,61.7,3.6,2012
"Detroit-Warren-Livonia, MI\13",72.8,3.3,73.5,3.2,74,3.2,73.5,3.2,2012
"El Paso, TX",69.9,8.8,66.7,9.1,66.7,9.3,66,8.9,2012
"Fresno, CA",50.2,8.3,42.3,8.2,60.7,8.1,59,8.1,2012
"Grand Rapids-Wyoming, MI\14",79.1,7,75.1,7.5,76.3,7.1,77,7,2012
"Greensboro-High Point, NC\15",65.5,8.4,65.5,8.5,66.2,8.4,62.5,8.6,2012
"Hartford-West Hartford-East Hartford, CT\16",65.5,4,71.6,3.8,73.6,3.8,72.7,3.8,2012
"Honolulu, HI",54.9,3.9,54.8,3.8,55.8,3.8,59,3.7,2012
"Houston-Baytown-Sugar Land, TX\17",63.3,3.2,64.5,3.2,60.6,3.2,60.4,3.2,2012
"Indianapolis, IN",68,5.5,65.6,5.5,67.1,5.4,67.8,5.4,2012
"Jacksonville, FL",66.5,6.1,63.1,6.2,68.9,6.2,68.1,6.2,2012
"Kansas City, MO-KS",67.1,3.5,63.7,3.6,64,3.6,65.5,3.5,2012
"Las Vegas-Paradise, NV\18",54.3,3.5,52.1,3.4,51.1,3.5,52.8,3.5,2012
"Los Angeles-Long Beach-Santa Ana, CA \19",49.7,2.2,49.9,2.2,50.8,2.2,49.1,2.2,2012
"Louisville, KY-IN",59.3,6.7,65.9,6.4,65,6.3,62.6,6.8,2012
"Memphis, TN-AR-MS",57.9,5.1,63.1,5.3,60.1,5.1,61.2,5.3,2012
"Miami-Fort Lauderdale-Miami Beach, FL\20",63.1,3.2,63.5,3.2,61.8,3.2,58.7,3.3,2012
"Milwaukee-Waukesha-West Allis, WI",63.3,5,60.8,5.1,61.1,5.1,62.6,5.1,2012
"Minneapolis-St Paul-Bloomington, MN-WI ",68,2.9,70.6,2.8,72.2,2.7,72.3,2.7,2012
"Nashville-Davidson-Murfreesboro, TN\21",65.6,5.9,66.4,6,66.6,5.9,61.1,6,2012
"New Haven-Milford, CT",65.2,4.9,62,4.9,61.2,5,60.3,4.9,2012
"New Orleans-Metairie-Kenner, LA\22",59.6,7.3,66.3,7.3,61.7,7.2,62.2,7.2,2012
"New York-Northern New Jersey--Long Island, NY\23",49.8,1.8,52.7,1.8,52.1,1.8,51.3,1.8,2012
"Oklahoma City, OK",66.7,5.7,65.2,5.9,68.6,5.4,68.6,5.6,2012
"Omaha-Council Bluffs, NE-IA",72,4.7,70.7,4.7,72.5,4.5,74.2,4.4,2012
"Orlando, FL",68.9,5.3,68,5.2,63.8,5.3,71.4,5,2012
"Oxnard-Thousand Oaks-Ventura, CA",66.4,8.6,70,8.5,64.7,9.2,63.5,8.6,2012
"Philadelphia-Camden-Wilmington, PA ",68.9,3,68.4,3,69.8,3,70.9,3,2012
"Phoenix-Mesa-Scottsdale, AZ\24",64.2,3.8,62.9,3.8,62.3,3.9,63.2,3.8,2012
"Pittsburgh, PA",67.4,4.5,67,4.6,68.4,4.7,68.8,4.6,2012
"Portland-Vancouver-Beaverton, OR-WA\25",63.8,4.1,65.5,4.1,66.3,4.1,60,4.2,2012
"Poughkeepsie-Newburgh-Middletown, NJ",71.5,9.2,74.8,8.7,68,8.9,66,9.2,2012
Providence-New Bedford-Fall River RI-MA\26,61.9,6,61.3,6,61.4,5.9,62,5.8,2012
"Raleigh-Cary, NC\27",65.5,6.9,70.6,6.6,68.4,6.6,66.2,7,2012
"Richmond, VA\28",66.9,5.9,66.4,5.8,68.3,5.9,66.6,5.8,2012
"Riverside-San Bernardino-Ontario, CA\29",59.1,4,59.4,4,58.7,4,55.5,4.1,2012
"Rochester, NY",67.5,7,67.3,7.1,68.3,6.9,69.6,7,2012
"Sacramento-Arden-Arcade-Roseville, CA\30",57.9,5.1,59,5.2,59.5,5.3,58,5.2,2012
"St Louis, MO-IL",71.9,4,71.6,4,70.9,4,73.8,4,2012
"Salt Lake City, UT\31",64.8,5.2,66.6,5.1,67.8,5,68.6,5,2012
"San Antonio, TX ",70.4,5.2,71,5.2,65.6,5.3,63.1,5.4,2012
"San Diego-Carlsbad-San Marco, CAs\32",55.7,4.6,55.9,4.6,54.2,4.5,56,4.5,2012
"San Francisco-Oakland-Fremont, CA\33",53.8,3.6,54.3,3.6,51.7,3.6,53.2,3.5,2012
"San Jose-Sunnyvale-Santa Clara, CA\34",59.1,5.8,58.5,5.6,58.6,5.6,58.1,5.6,2012
"Seattle-Tacoma-Bellevue, WA",59.9,3.8,59,3.7,59.5,3.7,63.2,3.7,2012
"Springfield, MA",70.4,8.7,71,8,65.9,8.6,69.3,8.3,2012
"Syracuse, NY",53.3,9.5,56.3,9.5,60.3,9.4,58.2,9.2,2012
"Tampa-St Petersburg-Clearwater, FL",67.7,4.3,68.1,4.3,66.6,4.3,65.9,4.3,2012
"Toledo, OH",56.1,9.4,65.5,9.3,63.5,9.3,62.7,9,2012
"Tucson, AZ ",61.3,7.5,64.4,7.5,70,7,63.9,7.4,2012
"Tulsa, OK",69,6.3,70.2,6.2,63,6.9,63.4,6.6,2012
"Virginia Beach-Norfolk-Newport News, VA\35",62,6.3,62.6,6.5,61.3,6.3,62.1,6.2,2012
"Washington-Arlington-Alexandria, DC-VA-MD-WV\36",67,3.2,65.8,3.2,66.6,3.2,68.1,3.2,2012
"Worcester, MA",66.3,8.6,62,8.4,57.9,8.3,61.8,8.7,2012
"Akron, OH ",72,8.4,71,8.6,67.1,8.5,73.4,8,2011
"Albany-Schenectady-Troy, NY ",72.3,7.2,73.1,7.1,70.5,7.1,73.7,6.9,2011
"Alburquerque, NM",72.2,5,69.1,5.1,63.3,5.3,64.2,5.2,2011
"Allentown-Bethlehem-Easton, PA-NJ",74.7,7.3,74.4,7.4,76.4,7.2,77.4,7.3,2011
"Atlanta-Sandy Springs-Marietta, GA\1",68.4,3.2,65.5,3.3,64.6,3.3,64.8,3.3,2011
"Austin-Round Rock, TX\2",61.2,6,59.6,6,55.4,6,57.5,5.9,2011
"Bakersfield, CA",56.5,9.8,53.1,9.4,59.6,9.4,64.8,9.1,2011
"Baltimore-Towson, MD\3",64.7,3.5,66.4,3.5,68.6,3.5,67.5,3.4,2011
"Baton Rouge, LA",76.5,7.6,73,8.3,66.8,8.4,71.9,7.9,2011
"Birmingham-Hoover, AL\4",78.8,6.1,77.1,6.6,72.7,6.7,75.8,6.5,2011
"Boston-Cambridge-Quincy, MA-NH\5",66.4,3.5,63.7,3.5,65.7,3.5,66.1,3.5,2011
"Bridgeport-Stamford-Norwalk, CT",71.9,4.7,73.7,4.5,70.8,4.6,70,4.7,2011
"Buffalo-Cheektowaga-Tonawanda, NY\6",68,6.7,66.2,7,69.3,6.6,66.8,6.9,2011
"Charlotte-Gastonia-Concord, NC-SC\7",61,5.9,62,6,66.5,5.8,65.2,5.9,2011
"Chicago-Naperville-Joliet, IL\8",67.7,2.4,68.4,2.4,68.2,2.4,66.3,2.4,2011
"Cincinnati-Middletown, OH-KY-IN\9",66,5,65.1,5.1,65.6,5.1,64.2,5.1,2011
"Cleveland-Elyria-Mentor, OH\10",70.7,4.7,70.1,4.7,70.7,4.6,67.6,4.8,2011
"Columbia, SC",69.8,7.5,72.7,7.5,69.2,7.8,64.3,7.9,2011
"Columbus, OH",62.8,5.6,58.5,5.6,60.2,5.7,57.2,5.7,2011
"Dallas-Ft Worth-Arlington, TX\11",61.4,3.1,63,3.1,62.6,3.1,63.5,3.1,2011
"Dayton, OH",68.8,8,71.2,7.9,65.7,8.5,67.8,8,2011
"Denver-Aurora, CO\12",62.4,3.6,62.9,3.6,63.9,3.6,62.9,3.5,2011
"Detroit-Warren-Livonia, MI\13",73.8,3.2,71.1,3.3,72.4,3.3,76.7,3.1,2011
"El Paso, TX",72.2,8.7,69.7,8.7,70.1,8.5,76.1,8.2,2011
"Fresno, CA",50.7,8.7,51.8,8.6,54,8.4,53.6,8.4,2011
"Grand Rapids-Wyoming, MI\14",80,7.1,77.6,7.3,72.9,7.8,75.1,7.6,2011
"Greensboro-High Point, NC\15",60.4,8.8,61.1,8.7,64.9,8.8,64.6,8.7,2011
"Hartford-West Hartford-East Hartford, CT\16",72.7,3.9,74.6,3.8,69.5,4,69,4,2011
"Honolulu, HI",53,4,54.7,4,54.1,4,54.7,4,2011
"Houston-Baytown-Sugar Land, TX\17",59.5,3.3,60.4,3.3,62.6,3.3,62.8,3.3,2011
"Indianapolis, IN",69.4,5.5,68.6,5.6,67.4,5.5,67.7,5.4,2011
"Jacksonville, FL",70.4,6.1,65.6,6.3,66.2,6.3,69.8,6,2011
"Kansas City, MO-KS",68.9,3.4,66.6,3.5,68.5,3.5,69.9,3.4,2011
"Las Vegas-Paradise, NV\18",54,3.6,53.7,3.5,51.9,3.6,52.2,3.6,2011
"Los Angeles-Long Beach-Santa Ana, CA \19",51.1,2.3,49.8,2.3,50.6,2.2,48.8,2.2,2011
"Louisville, KY-IN",59.6,6.7,62.1,6.7,61.6,6.8,63.5,6.7,2011
"Memphis, TN-AR-MS",57.2,5.3,61.5,5.1,61.4,5,60.2,5.2,2011
"Miami-Fort Lauderdale-Miami Beach, FL\20",64.5,3.3,63.3,3.3,66,3.2,62.9,3.3,2011
"Milwaukee-Waukesha-West Allis, WI",63.2,5.1,61.1,5.2,63.6,5.2,61.4,5.2,2011
"Minneapolis-St Paul-Bloomington, MN-WI ",66.9,2.9,68.6,2.8,70.6,2.9,70.4,2.8,2011
"Nashville-Davidson-Murfreesboro, TN\21",73.2,5.4,67.1,5.9,69.5,5.8,68.4,5.8,2011
"New Haven-Milford, CT",65.5,4.9,66.3,4.9,67.8,4.8,65.7,4.9,2011
"New Orleans-Metairie-Kenner, LA\22",60.9,6.9,65.1,7,66.6,6.9,63.2,7.1,2011
"New York-Northern New Jersey--Long Island, NY\23",51.6,1.8,50.4,1.8,51.1,1.8,50.6,1.8,2011
"Oklahoma City, OK",71.6,5.6,67.9,5.9,69.5,5.6,69.3,5.5,2011
